METS,heading,description
8.5,bicycling,"bicycling, BMX or mountain"
4.0,bicycling,"bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115"
8.0,bicycling,"bicycling, general"
6.0,bicycling,"bicycling, 10-11.9 mph, leisure, slow, light effort"
8.0,bicycling,"bicycling, 12-13.9 mph, leisure, moderate effort"
10.0,bicycling,"bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"
12.0,bicycling,"bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing genera"
16.0,bicycling,"bicycling, >20 mph, racing, not drafting"
5.0,bicycling,unicycling
7.0,conditioning exercise,"bicycling, stationary, general"
3.0,conditioning exercise,"bicycling, stationary, 50 watts, very light effort"
5.5,conditioning exercise,"bicycling, stationary, 100 watts, light effort"
7.0,conditioning exercise,"bicycling, stationary, 150 watts, moderate effort"
10.5,conditioning exercise,"bicycling, stationary, 200 watts, vigorous effort"
12.5,conditioning exercise,"bicycling, stationary, 250 watts, very vigorous effort"
8.0,conditioning exercise,"calisthenics (e.g. pushups, situps, pullups, jumping jacks), heavy, vigorous effort"
3.5,conditioning exercise,"calisthenics, home exercise, light or moderate effort, general (example: back exercises), going up & down from floor (Taylor Code 150"
8.0,conditioning exercise,"circuit training, including some aerobic movement with minimal rest, general"
6.0,conditioning exercise,"weight lifting (free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210"
5.5,conditioning exercise,"health club exercise, general (Taylor Code 160"
9.0,conditioning exercise,"stair-treadmill ergometer, general"
7.0,conditioning exercise,"rowing, stationary ergometer, genera"
3.5,conditioning exercise,"rowing, stationary, 50 watts, light effort"
7.0,conditioning exercise,"rowing, stationary, 100 watts, moderate effort"
8.5,conditioning exercise,"rowing, stationary, 150 watts, vigorous effort"
12.0,conditioning exercise,"rowing, stationary, 200 watts, very vigorous effort"
7.0,conditioning exercise,"ski machine, general"
6.0,conditioning exercise,"slimnastics, jazzercise"
2.5,conditioning exercise,"stretching, hatha yoga"
2.5,conditioning exercise,mild stretching
6.0,conditioning exercise,teaching aerobic exercise class
4.0,conditioning exercise,"water aerobics, water calisthenics"
3.0,conditioning exercise,"weight lifting (free, nautilus or universal-type), light or moderate effort, light workout, genera"
1.0,conditioning exercise,"whirlpool, sitting"
4.8,dancing,"ballet or modern, twist, jazz, tap, jitterbug"
6.5,dancing,"aerobic, general"
8.5,dancing,"aerobic, step, with 6 – 8 inch step"
10.0,dancing,"aerobic, step, with 10 – 12 inch step"
5.0,dancing,"aerobic, low impact"
7.0,dancing,"aerobic, high impact"
4.5,dancing,"general, Greek, Middle Eastern, hula, flamenco, belly, and swing dancing"
5.5,dancing,"ballroom, dancing fast (Taylor Code 125)"
4.5,dancing,"ballroom, fast (disco, folk, square), line dancing, Irish step dancing, polka, contra, country"
3.0,dancing,"ballroom, slow (e.g. waltz, foxtrot, slow dancing),samba, tango, 19th C, mambo, chacha"
5.5,dancing,Anishinaabe Jingle Dancing or other traditional American Indian dancing
3.0,fishing and hunting,"fishing, general"
4.0,fishing and hunting,"digging worms, with shovel"
4.0,fishing and hunting,fishing from river bank and walking
2.5,fishing and hunting,"fishing from boat, sitting"
3.5,fishing and hunting,"fishing from river bank, standing (Taylor Code 660)"
6.0,fishing and hunting,"fishing in stream, in waders (Taylor Code 670)"
2.0,fishing and hunting,"fishing, ice, sitting"
2.5,fishing and hunting,"hunting, bow and arrow or crossbow"
6.0,fishing and hunting,"hunting, deer, elk, large game (Taylor Code 170)"
2.5,fishing and hunting,"hunting, duck, wading"
5.0,fishing and hunting,"hunting, general"
6.0,fishing and hunting,"hunting, pheasants or grouse (Taylor Code 680"
5.0,fishing and hunting,"hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)"
2.5,fishing and hunting,"pistol shooting or trap shooting, standing"
3.3,home activities,"carpet sweeping, sweeping floors"
3.0,home activities,"cleaning, heavy or major (e.g. wash car, wash windows, clean garage), vigorous effort"
3.5,home activities,mopping
2.5,home activities,"multiple household tasks all at once, light effort"
3.5,home activities,"multiple household tasks all at once, moderate effort"
4.0,home activities,"multiple household tasks all at once, vigorous effort"
3.0,home activities,"cleaning, house or cabin, genera"
2.5,home activities,"cleaning, light (dusting, straightening up, changing linen, carrying out trash"
2.3,home activities,wash dishes - standing or in general (not broken into stand/walk components
2.5,home activities,wash dishes; clearing dishes from table – walking
3.5,home activities,vacuuming
6.0,home activities,butchering animals
2.0,home activities,"cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliance"
2.5,home activities,"serving food, setting table - implied walking or standing"
2.5,home activities,cooking or food preparation - walking
2.5,home activities,feeding animals
2.5,home activities,"putting away groceries (e.g. carrying groceries, shopping without a grocery cart), carrying packages"
7.5,home activities,carrying groceries upstairs
3.0,home activities,cooking Indian bread on an outside stove
2.3,home activities,"food shopping with or without a grocery cart, standing or walking"
2.3,home activities,"non-food shopping, standing or walking"
 ,home activities,walking shopping (non-grocery shopping)
2.3,home activities,ironing
1.5,home activities,"sitting - knitting, sewing, lt. wrapping (presents)"
2.0,home activities,"implied standing - laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase"
2.3,home activities,"implied walking - putting away clothes, gathering clothes to pack, putting away laundry"
2.0,home activities,making bed
5.0,home activities,"maple syruping/sugar bushing (including carrying buckets, carrying wood)"
6.0,home activities,"moving furniture, household items,carrying boxes"
3.8,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub"
4.0,home activities,"sweeping garage, sidewalk or outside of house"
 ,home activities,"moving household items, carrying boxes"
3.5,home activities,"standing - packing/unpacking boxes, occasional lifting of household items light - moderate effort"
3.0,home activities,implied walking - putting away household items - moderate effort
2.5,home activities,watering plants
2.5,home activities,building a fire inside
9.0,home activities,"moving household items upstairs, carrying boxes or furniture"
2.0,home activities,"standing - light (pump gas, change light bulb, etc.)"
3.0,home activities,"walking - light, non-cleaning (readying to leave, shut/lock doors, close windows, etc."
2.5,home activities,"sitting - playing with child(ren) – light, only active periods"
2.8,home activities,"standing - playing with child(ren) – light, only active periods"
4.0,home activities,"walk/run - playing with child(ren) – moderate, only active periods"
5.0,home activities,"walk/run - playing with child(ren) – vigorous, only active periods"
3.0,home activities,carrying small children
2.5,home activities,"child care: sitting/kneeling - dressing, bathing, grooming, feeding, occasional lifting of child-light effort, genera"
3.0,home activities,"child care: standing - dressing, bathing, grooming, feeding, occasional lifting of child-light effort"
4.0,home activities,"elder care, disabled adult, only active periods"
1.5,home activities,reclining with baby
2.5,home activities,"sit, playing with animals, light, only active periods"
2.8,home activities,"stand, playing with animals, light, only active periods"
2.8,home activities,"walk/run, playing with animals, light, only active periods"
4.0,home activities,"walk/run, playing with animals, moderate, only active periods"
5.0,home activities,"walk/run, playing with animals, vigorous, only active periods"
3.5,home activities,standing - bathing dog
3.0,home repair,airplane repair
4.0,home repair,automobile body work
3.0,home repair,automobile repair
3.0,home repair,"carpentry, general, workshop (Taylor Code 620)"
6.0,home repair,"carpentry, outside house, installing rain gutters,building a fence, (Taylor Code 640)"
4.5,home repair,"carpentry, finishing or refinishing cabinets or furniture"
7.5,home repair,"carpentry, sawing hardwood"
5.0,home repair,"caulking, chinking log cabin"
4.5,home repair,"caulking, except log cabin"
5.0,home repair,cleaning gutters
5.0,home repair,excavating garage
5.0,home repair,hanging storm windows
4.5,home repair,laying or removing carpet
4.5,home repair,"laying tile or linoleum, repairing appliances"
5.0,home repair,"painting, outside home (Taylor Code 650)"
3.0,home repair,"painting, papering, plastering, scraping, inside house, hanging sheet rock, remodeling"
4.5,home repair,"painting, (Taylor Code 630)"
3.0,home repair,put on and removal of tarp - sailboat
6.0,home repair,roofing
4.5,home repair,sanding floors with a power sander
4.5,home repair,scraping and painting sailboat or powerboat
5.0,home repair,spreading dirt with a shovel
4.5,home repair,"washing and waxing hull of sailboat, car, powerboat, airplane"
4.5,home repair,"washing fence, painting fence"
3.0,home repair,"wiring, plumbing"
1.0,inactivity quiet,"lying quietly, watching television"
1.0,inactivity quiet,"lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)"
1.0,inactivity quiet,sitting quietly and watching television
1.0,inactivity quiet,"sitting quietly, sitting smoking, listening to music (not talking or reading), watching a movie in a theater"
0.9,inactivity quiet,sleeping
1.2,inactivity quiet,standing quietly (standing in a line)
1.0,inactivity light,reclining - writing
1.0,inactivity light,reclining - talking or talking on phone
1.0,inactivity light,reclining - reading
1.0,inactivity light,meditating
5.0,lawn and garden,"carrying, loading or stacking wood, loading/unloading or carrying lumber"
6.0,lawn and garden,"chopping wood, splitting logs"
5.0,lawn and garden,"clearing land, hauling branches, wheelbarrow chores"
5.0,lawn and garden,digging sandbox
5.0,lawn and garden,"digging, spading, filling garden, composting, (Taylor Code 590)"
6.0,lawn and garden,"gardening with heavy power tools, tilling a garden, chain saw"
5.0,lawn and garden,laying crushed rock
5.0,lawn and garden,laying sod
5.5,lawn and garden,"mowing lawn, general"
2.5,lawn and garden,"mowing lawn, riding mower (Taylor Code 550)"
6.0,lawn and garden,"mowing lawn, walk, hand mower (Taylor Code 570)"
5.5,lawn and garden,"mowing lawn, walk, power mower"
4.5,lawn and garden,"mowing lawn, power mower (Taylor Code 590)"
4.5,lawn and garden,"operating snow blower, walking"
4.5,lawn and garden,"planting seedlings, shrubs"
4.5,lawn and garden,planting trees
4.3,lawn and garden,raking lawn
4.0,lawn and garden,raking lawn (Taylor Code 600)
4.0,lawn and garden,raking roof with snow rake
3.0,lawn and garden,riding snow blower
4.0,lawn and garden,"sacking grass, leaves"
6.0,lawn and garden,"shoveling snow, by hand (Taylor Code 610)"
4.5,lawn and garden,"trimming shrubs or trees, manual cutter"
3.5,lawn and garden,"trimming shrubs or trees, power cutter, using leaf blower, edger"
2.5,lawn and garden,"walking, applying fertilizer or seeding a lawn"
1.5,lawn and garden,"watering lawn or garden, standing or walking"
4.5,lawn and garden,"weeding, cultivating garden (Taylor Code 580)"
4.0,lawn and garden,"gardening, general"
3.0,lawn and garden,"picking fruit off trees, picking fruits/vegetables, moderate effort"
3.0,lawn and garden,"implied walking/standing - picking up yard, light, picking flowers or vegetables"
3.0,lawn and garden,"walking, gathering gardening tools"
1.5,miscellaneous,"sitting - card playing, playing board games"
2.3,miscellaneous,"standing - drawing (writing), casino gambling, duplicating machine"
1.3,miscellaneous,"sitting - reading, book, newspaper, etc."
1.8,miscellaneous,"sitting - writing, desk work, typing"
1.8,miscellaneous,standing - talking or talking on the phone
1.5,miscellaneous,sitting - talking or talking on the phone
1.8,miscellaneous,"sitting - studying, general, including reading and/or writing"
1.8,miscellaneous,"sitting - in class, general, including note-taking or class discussion"
1.8,miscellaneous,standing - reading
2.0,miscellaneous,standing - miscellaneous
1.5,miscellaneous,"sitting - arts and crafts, light effort"
2.0,miscellaneous,"sitting - arts and crafts, moderate effort"
1.8,miscellaneous,"standing - arts and crafts, light effort"
3.0,miscellaneous,"standing - arts and crafts, moderate effort"
3.5,miscellaneous,"standing - arts and crafts, vigorous effort"
1.5,miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating"
2.0,miscellaneous,touring/traveling/vacation involving walking and riding
2.5,miscellaneous,"camping involving standing, walking, sitting, light-to-moderate effort"
1.5,miscellaneous,"sitting at a sporting event, spectator"
1.8,music playing,accordion
2.0,music playing,cello
2.5,music playing,conducting
4.0,music playing,drums
2.0,music playing,flute (sitting)
2.0,music playing,horn
2.5,music playing,piano or organ
3.5,music playing,trombone
2.5,music playing,trumpet
2.5,music playing,violin
2.0,music playing,woodwind
2.0,music playing,"guitar, classical, folk (sitting)"
3.0,music playing,"guitar, rock and roll band (standing)"
4.0,music playing,"marching band, playing an instrument, baton twirling (walking)"
3.5,music playing,"marching band, drum major (walking)"
4.0,occupation,"bakery, general, moderate effort"
2.5,occupation,"bakery, light effort"
2.3,occupation,bookbinding
6.0,occupation,"building road (including hauling debris, driving heavy machinery)"
2.0,occupation,"building road, directing traffic (standing)"
3.5,occupation,"carpentry, general"
8.0,occupation,"carrying heavy loads, such as bricks"
8.0,occupation,"carrying moderate loads up stairs, moving boxes (16-40 pounds)"
2.5,occupation,"chambermaid, making bed (nursing)"
6.5,occupation,"coal mining, drilling coal, rock"
6.5,occupation,"coal mining, erecting supports"
6.0,occupation,"coal mining, general"
7.0,occupation,"coal mining, shoveling coal"
5.5,occupation,"construction, outside, remodeling"
3.0,occupation,custodial work - buffing the floor with electric buffer
2.5,occupation,"custodial work - cleaning sink and toilet, light effort"
2.5,occupation,"custodial work - dusting, light effort"
4.0,occupation,"custodial work – feathering arena floor, moderate effor"
3.5,occupation,"custodial work - general cleaning, moderate effort"
3.5,occupation,"custodial work - mopping, moderate effort"
3.0,occupation,"custodial work - take out trash, moderate effor"
2.5,occupation,"custodial work - vacuuming, light effort"
3.0,occupation,"custodial work - vacuuming, moderate effort"
3.5,occupation,"electrical work, plumbing"
8.0,occupation,"farming, baling hay, cleaning barn, poultry work,vigorous effort"
3.5,occupation,"farming, chasing cattle, non-strenuous(walking), moderate effort"
4.0,occupation,"farming, chasing cattle or other livestock on horseback, moderate effor"
2.0,occupation,"farming, chasing cattle or other livestock, driving, light effort"
2.5,occupation,"farming, driving harvester, cutting hay, irrigation work"
2.5,occupation,"farming, driving tractor"
4.0,occupation,"farming, feeding small animals"
4.5,occupation,"farming, feeding cattle, horses"
4.5,occupation,"farming, hauling water for animals, general hauling water"
6.0,occupation,"farming, taking care of animals (grooming, brushing, shearing sheep, assisting with birthing, medical care, branding)"
8.0,occupation,"farming, forking straw bales, cleaning corral or barn, vigorous effort"
3.0,occupation,"farming, milking by hand, moderate effort"
1.5,occupation,"farming, milking by machine, light effort"
5.5,occupation,"farming, shoveling grain, moderate effort"
12.0,occupation,"fire fighter, general"
11.0,occupation,"fire fighter, climbing ladder with full gear"
8.0,occupation,"fire fighter, hauling hoses on ground"
17.0,occupation,"forestry, ax chopping, fast"
5.0,occupation,"forestry, ax chopping, slow"
7.0,occupation,"forestry, barking trees"
11.0,occupation,"forestry, carrying logs"
8.0,occupation,"forestry, felling trees"
8.0,occupation,"forestry, general"
5.0,occupation,"forestry, hoeing"
6.0,occupation,"forestry, planting by hand"
7.0,occupation,"forestry, sawing by hand"
4.5,occupation,"forestry, sawing, power"
9.0,occupation,"forestry, trimming trees"
4.0,occupation,"forestry, weeding"
4.5,occupation,furriery
6.0,occupation,horse grooming
8.0,occupation,"horse racing, galloping"
6.5,occupation,"horse racing, trotting"
2.6,occupation,"horse racing, walking"
3.5,occupation,locksmith
2.5,occupation,"machine tooling, machining, working sheet meta"
3.0,occupation,"machine tooling, operating lathe"
5.0,occupation,"machine tooling, operating punch press"
4.0,occupation,"machine tooling, tapping and drilling"
3.0,occupation,"machine tooling, welding"
7.0,occupation,"masonry, concrete"
4.0,occupation,"masseur, masseuse (standing)"
7.5,occupation,"moving, pushing heavy objects, 75 lbs or more (desks, moving van work)"
12.0,occupation,skindiving or SCUBA diving as a frogman (Navy Seal)
2.5,occupation,"operating heavy duty equipment/automated, not driving"
4.5,occupation,orange grove work
2.3,occupation,printing (standing)
2.5,occupation,"police, directing traffic (standing)"
2.0,occupation,"police, driving a squad car (sitting)"
1.3,occupation,"police, riding in a squad car (sitting)"
4.0,occupation,"police, making an arrest (standing)"
2.5,occupation,"shoe repair, general"
8.5,occupation,"shoveling, digging ditches"
9.0,occupation,"shoveling, heavy (more than 16 pounds/minute"
6.0,occupation,"shoveling, light (less than 10 pounds/minute)"
7.0,occupation,"shoveling, moderate (10 to 15 pounds/minute)"
1.5,occupation,"sitting - light office work, general (chemistry lab work, light use of hand tools, watch repair or micro-assembly, light assembly/repair), sitting, reading, driving at work"
1.5,occupation,"sitting meetings, general, and/or with talking involved,eatting at a business meeting"
2.5,occupation,"sitting; moderate (heavy levers, riding mower/forklift, crane operation) teaching stretching or yoga"
2.3,occupation,"standing; light (bartending, store clerk, assembling, filing, duplicating, putting up a Christmas tree), standing and talking at work, changing clothes when teaching physical education"
3.0,occupation,"standing; light/moderate (assemble/repair heavy parts, welding, stocking, auto repair, pack boxes for moving, etc.), patient care (as in nursing"
4.0,occupation,"lifting items continuously, 10 – 20 lbs, with limited walking or resting"
3.5,occupation,"standing; moderate (assembling at fast rate, intermittent, lifting 50 lbs, hitch/twisting ropes)"
4.0,occupation,"standing; moderate/heavy (lifting more than 50 lbs, masonry, painting, paper hanging"
5.0,occupation,"steel mill, fettling"
5.5,occupation,"steel mill, forging"
8.0,occupation,"steel mill, hand rolling"
8.0,occupation,"steel mill, merchant mill rolling"
11.0,occupation,"steel mill, removing slag"
7.5,occupation,"steel mill, tending furnace"
5.5,occupation,"steel mill, tipping molds"
8.0,occupation,"steel mill, working in general"
2.5,occupation,"tailoring, cutting"
2.5,occupation,"tailoring, general"
2.0,occupation,"tailoring, hand sewing"
2.5,occupation,"tailoring, machine sewing"
4.0,occupation,"tailoring, pressing"
3.5,occupation,"tailoring, weaving"
6.5,occupation,"truck driving, loading and unloading truck (standing)"
1.5,occupation,"typing, electric, manual or computer"
6.0,occupation,"using heavy power tools such as pneumatic tools (jackhammers, drills, etc."
8.0,occupation,"using heavy tools (not power) such as shovel, pick, tunnel bar, spade"
2.0,occupation,"walking on job, less than 2.0 mph (in office or lab area), very slow"
3.3,occupation,"walking on job, 3.0 mph, in office, moderate speed, not carrying anything"
3.8,occupation,"walking on job, 3.5 mph, in office, brisk speed, not carrying anything"
3.0,occupation,"walking, 2.5 mph, slowly and carrying light objects less than 25 pounds"
3.0,occupation,"walking, gathering things at work, ready to leave"
4.0,occupation,"walking, 3.0 mph, moderately and carrying light objects less than 25 lbs"
3.5,occupation,locksmith
2.5,occupation,"machine tooling, machining, working sheet meta"
3.0,occupation,"machine tooling, operating lathe"
5.0,occupation,"machine tooling, operating punch press"
4.0,occupation,"machine tooling, tapping and drilling"
3.0,occupation,"machine tooling, welding"
7.0,occupation,"masonry, concrete"
4.0,occupation,"masseur, masseuse (standing)"
7.5,occupation,"moving, pushing heavy objects, 75 lbs or more (desks, moving van work)"
12.0,occupation,skindiving or SCUBA diving as a frogman (Navy Seal)
2.5,occupation,"operating heavy duty equipment/automated, not driving"
4.5,occupation,orange grove work
2.3,occupation,printing (standing)
2.5,occupation,"police, directing traffic (standing)"
2.0,occupation,"police, driving a squad car (sitting)"
1.3,occupation,"police, riding in a squad car (sitting)"
4.0,occupation,"police, making an arrest (standing)"
2.5,occupation,"shoe repair, general"
8.5,occupation,"shoveling, digging ditches"
9.0,occupation,"shoveling, heavy (more than 16 pounds/minute"
6.0,occupation,"shoveling, light (less than 10 pounds/minute)"
7.0,occupation,"shoveling, moderate (10 to 15 pounds/minute)"
1.5,occupation,"sitting - light office work, general (chemistry lab work, light use of hand tools, watch repair or micro-assembly, light assembly/repair), sitting, reading, driving at work"
1.5,occupation,"sitting meetings, general, and/or with talking involved,eatting at a business meeting"
2.5,occupation,"sitting; moderate (heavy levers, riding mower/forklift, crane operation) teaching stretching or yoga"
2.3,occupation,"standing; light (bartending, store clerk, assembling, filing, duplicating, putting up a Christmas tree), standing and talking at work, changing clothes when teaching physical education"
3.0,occupation,"standing; light/moderate (assemble/repair heavy parts, welding, stocking, auto repair, pack boxes for moving, etc.), patient care (as in nursing"
4.0,occupation,"lifting items continuously, 10 – 20 lbs, with limited walking or resting"
3.5,occupation,"standing; moderate (assembling at fast rate, intermittent, lifting 50 lbs, hitch/twisting ropes)"
4.0,occupation,"standing; moderate/heavy (lifting more than 50 lbs, masonry, painting, paper hanging"
5.0,occupation,"steel mill, fettling"
5.5,occupation,"steel mill, forging"
8.0,occupation,"steel mill, hand rolling"
8.0,occupation,"steel mill, merchant mill rolling"
11.0,occupation,"steel mill, removing slag"
7.5,occupation,"steel mill, tending furnace"
5.5,occupation,"steel mill, tipping molds"
8.0,occupation,"steel mill, working in general"
2.5,occupation,"tailoring, cutting"
2.5,occupation,"tailoring, general"
2.0,occupation,"tailoring, hand sewing"
2.5,occupation,"tailoring, machine sewing"
4.0,occupation,"tailoring, pressing"
3.5,occupation,"tailoring, weaving"
6.5,occupation,"truck driving, loading and unloading truck (standing)"
1.5,occupation,"typing, electric, manual or computer"
6.0,occupation,"using heavy power tools such as pneumatic tools (jackhammers, drills, etc."
8.0,occupation,"using heavy tools (not power) such as shovel, pick, tunnel bar, spade"
2.0,occupation,"walking on job, less than 2.0 mph (in office or lab area), very slow"
3.3,occupation,"walking on job, 3.0 mph, in office, moderate speed, not carrying anything"
3.8,occupation,"walking on job, 3.5 mph, in office, brisk speed, not carrying anything"
3.0,occupation,"walking, 2.5 mph, slowly and carrying light objects less than 25 pounds"
3.0,occupation,"walking, gathering things at work, ready to leave"
4.0,occupation,"walking, 3.0 mph, moderately and carrying light objects less than 25 lbs"
6.0,sports,"boxing, punching bag"
9.0,sports,"boxing, sparring"
7.0,sports,broomball
5.0,sports,"children’s games (hopscotch, 4-square, dodge ball, playground apparatus, t-ball, tetherball, marbles, jacks, acrace games"
4.0,sports,"coaching: football, soccer, basketball, baseball, swimming, etc."
5.0,sports,"cricket (batting, bowling)"
2.5,sports,croquet
4.0,sports,curling
2.5,sports,"darts, wall or lawn"
6.0,sports,"drag racing, pushing or driving a car"
6.0,sports,fencing
9.0,sports,"football, competitive"
8.0,sports,"football, touch, flag, general (Taylor Code 510"
2.5,sports,"football or baseball, playing catch"
3.0,sports,"frisbee playing, general"
8.0,sports,"frisbee, ultimate"
4.5,sports,"golf, general"
